run_label,n_rows,n_expected_age_contrast_strict,n_full_contrast_strict,n_expected_age_strict,n_full_strict
stage6_inflammation_followup_20260303/dose_response/scale_2_seed42,4,3,2,1,1
stage6_inflammation_followup_20260303/celltype_anchor_seed42,9,7,6,0,0
stage5_donor_bootstrap_runs_20260303/stage5_seed314_n1x15_donor,4,4,4,0,0
stage5_donor_bootstrap_runs_20260303/stage5_seed123_n1x15_donor,4,4,3,0,0
stage5_donor_bootstrap_runs_20260303/stage5_seed42_n1x15_donor,4,4,3,0,0
stage6_inflammation_followup_20260303/cross_cohort_yazar/stage5_yazar_relaxed_overlap2_seed42,2,2,2,0,0
stage6_inflammation_followup_20260303/dose_response/scale_0p5_seed42,4,3,2,0,0
stage7_feature_level_singleton_20260303,4,3,2,0,0
stage8_monocyte_aida_v1_highpower_scale1_20260303,2,2,2,0,0
stage8_monocyte_aida_v1_highpower_scale2_20260303,2,2,2,0,0
stage6_inflammation_followup_20260303/cross_cohort_allen_plasma/stage5_allen_plasma_relaxed_overlap2_seed42,2,1,1,0,0
stage6_inflammation_followup_20260303/cross_cohort_yazar/stage5_yazar_seed42,1,1,1,0,0
stage6_inflammation_followup_20260303/specificity/neighbor_controls_seed42,5,2,1,0,0
stage6_inflammation_followup_20260303/dose_response/scale_0_seed42,4,0,0,0,0
stage7_monocyte_external_yazar_20260303,2,0,0,0,0
stage8_monocyte_aida_v2_highpower_scale1_20260303,2,0,0,0,0
stage8_monocyte_aida_v2_highpower_scale2_20260303,2,0,0,0,0
stage8_monocyte_external_yazar_proteostasis_scale1_20260303,2,0,0,0,0
stage8_monocyte_external_yazar_proteostasis_scale2_20260303,2,0,0,0,0
